CID,fsa,fsa2
491824829,t2z,T2Z
491824833,l5e,L5E
491824844,a0g,A0G
491824847,h9w,H9W
491824858,m8w,M8W
491824869,t3g,T3G
491824885,l4n,L4N
491824907,m5v,M5V
491824912,l3p,L3P
491824920,m1g,M1G
491824928,a1a,A1A
491824961,b2h,B2H
491824984,k6v,K6V
491824999,a0j,A0J
491825021,l8k,L8K
491825023,v2w,V2W
491825027,h8p,H8P
491825031,t4r,T4R
491825032,r3c,R3C
491825038,j3y,J3Y
491825044,h4a,H4A
491825049,a8a,A8A
491825066,v0k,V0K
491825073,e1a,E1A
491825080,v9r,V9R
491825081,t8a,T8A
491825098,m2n,M2N
491825162,n0a,N0A
491825200,b1n,B1N
491825205,g9n,G9N
491825251,k1j,K1J
491825301,g9h,G9H
491825322,l1j,L1J
491825355,m3l,M3L
491825357,l5b,L5B
491825404,t6j,T6J
491825410,a0a,A0A
491825424,v3v,V3V
491825431,g9h,G9H
491825474,m9r,M9R
491825494,t4n,T4N
491825509,m2m,M2M
491825520,v3k,V3K
491825572,m6m,M6M
491825619,s4h,S4H
491825640,v7c,V7C
491825852,j9e,J9E
491826257,n6j,N6J
491826299,e1e,E1E
491826414,j8a,J8A
491826542,k9j,K9J
491826639,v0j,V0J
491826790,h1g,H1G
491826963,n8n,N8N
491827011,h4w,H4W
491827046,l6p,L6P
491827047,s6j,S6J
491827083,t6j,T6J
491827100,n1h,N1H
491827131,h2n,H2N
491827148,j6e,J6E
491827197,l5a,L5A
491827219,m9m,M9M
491827230,b3h,B3H
491827327,a0n,A0N
491827348,v1e,V1E
491827357,t9w,T9W
491827414,a2v,A2V
491827586,t2k,T2K
491827631,l3z,L3Z
491827760,m2h,M2H
491827768,m1b,M1B
491827898,k0a,K0A
491827992,l3x,L3X
491828051,v7c,V7C
491828199,p3e,P3E
491828287,m6j,M6J
491828577,l4z,L4Z
491828634,l6l,L6L
491829056,e2j,E2J
491829579,l5l,L5L
491830124,l5r,L5R
491830828,h3j,H3J
491831276,k2j,K2J
491831295,h1y,H1Y
491831573,p0b,P0B
491832658,m1j,M1J
491832684,r5l,R5L
491833531,l6c,L6C
491833767,v3b,V3B
491834337,m3j,M3J
491834842,m4c,M4C
491835948,m1w,M1W
491836747,k1j,K1J
491837905,v9r,V9R
491837909,s0e,S0E
491838388,k0a,K0A
491856332,t3a,T3A
491857875,l7r,L7R
491860661,m4k,M4K
491861356,t3m,T3M
491862306,m5n,M5N
491863904,m6h,M6H
491869732,l7p,L7P
491872153,g8v,G8V
491875657,t6x,T6X
491875672,v8r,V8R
491881426,v8r,V8R
491885222,h2x,H2X
491892137,g7j,G7J
491894504,m5b,M5B
491901750,k1p,K1P
491919193,p3c,P3C
491938308,v6e,V6E
491957854,j1j,J1J
492048071,h4k,H4K
492056006,k2v,K2V
492060304,m6k,M6K
492105114,v3z,V3Z
492132099,c1e,C1E
492151083,r3m,R3M
492152432,r3l,R3L
492152498,r2h,R2H
492152790,r1n,R1N
492154173,r3x,R3X
492167387,r3t,R3T
492189247,l0s,L0S
492212174,r2w,R2W
492214159,r2n,R2N
492219359,,
492222013,r2m,R2M
492224120,r7b,R7B
492248369,r3y,R3Y
